,screenName,rtsum,favsum,totaltweets,rtscore,favscore,followers
1,aigkenham,33321,89268,2280,14.61447368,39.15263158,40200
2,albertmohler,11558,25668,566,20.4204947,45.34982332,128000
3,AndersonSpeaks,34,113,28,1.214285714,4.035714286,49400
4,AndyAndrews,9970,12453,1153,8.647007806,10.80052038,191000
5,AndyStanley,12523,34735,200,62.615,173.675,543000
6,BethMooreLPM,103416,650774,3125,33.09312,208.24768,724000
7,BillHybels,26371,25131,405,65.11358025,62.05185185,267000
8,BillyGraham,11114,30608,68,163.4411765,450.1176471,321000
9,bobrobertsjr,204,1239,264,0.772727273,4.693181818,12500
10,bradstine,470,629,1505,0.312292359,0.417940199,4319
11,brianjohnsonM,3924,13506,194,20.22680412,69.6185567,103000
12,brianmclaren,85,202,43,1.976744186,4.697674419,48000
13,bubbawatson,50224,202256,391,128.4501279,517.2787724,1720000
14,BurkParsons,8289,16497,156,53.13461538,105.75,33900
15,Chris_Hodges,91373,135596,2994,30.51870407,45.28924516,77900
16,chucknorris,14686,21358,514,28.57198444,41.55252918,106000
17,chuckswindoll,105339,137525,3200,32.9184375,42.9765625,104000
18,CJMahaney,1953,3866,99,19.72727273,39.05050505,53400
19,CoachJoeGibbs,978,1499,46,21.26086957,32.58695652,5716
20,craiggroeschel,86197,131382,1740,49.53850575,75.50689655,283000
21,dancathy,22450,18434,1574,14.26302414,11.7115629,53800
22,DaveRamsey,91235,236401,861,105.9639954,274.5656214,753000
23,DavidBartonWB,33351,15078,3176,10.50094458,4.747481108,28000
24,DougHeisel,145,314,229,0.633187773,1.371179039,1964
25,douglaswils,968,2069,201,4.815920398,10.29353234,23700
26,DouthatNYT,25569,55613,816,31.33455882,68.15318627,83200
27,Dr_Tim_LaHaye,916,1534,546,1.677655678,2.80952381,1152
28,DrGaryChapman,5767,8814,483,11.93995859,18.2484472,49900
29,DrJamesCDobson,47436,92243,3018,15.71769384,30.56428098,39100
30,drmoore,10681,28146,467,22.87152034,60.26980728,102000
31,drtonyevans,9502,20504,103,92.25242718,199.0679612,172000
32,edstetzer,4653,15319,590,7.886440678,25.96440678,197000
33,Franklin_Graham,256905,841544,867,296.3148789,970.638985,644000
34,gregsurratt,2560,3531,2026,1.263573544,1.74284304,32600
35,JakePeavy_22,31448,66439,536,58.67164179,123.9533582,123000
36,jamesmacdonald,119690,203133,2716,44.06848306,74.79123711,312000
